Gadget Type,Gender,Language,Product Name,Opinion,Sentiment
Headphones,Male,English,Boat Rockerz 450 on Ear Bluetooth Headphone,Kusan was damaged connectivity prablam so Mane time,Neutral
Headphones,Male,English,Boat Rockerz 450 on Ear Bluetooth Headphone,Good to use,Neutral
Headphones,Male,English,Boat Rockerz 450 on Ear Bluetooth Headphone,Too much of sound leakage,Neutral
Headphones,Male,English,Boat Rockerz 450 on Ear Bluetooth Headphone,It's good to buy this at that price and sound effect,Neutral
Headphones,Male,English,Boat Rockerz 450 on Ear Bluetooth Headphone,Sound Quality is good,Neutral
Headphones,Male,English,Boat Rockerz 450 on Ear Bluetooth Headphone,"User friendly product by all means, charging speed, Battery life, Sound quality are excellent.",Positive
Headphones,Male,English,Boat Rockerz 450 on Ear Bluetooth Headphone,Sound quality is great. I really don't like the material quality,Neutral
Headphones,Male,English,Boat Rockerz 450 on Ear Bluetooth Headphone,After using my boat headphone for a month writing review The product is very good and sound is clear. Price is less compare to market. Comfortable to use it. One this whenever connect/disconnect Bluetooth a recorded voice coming to notify the the device is paired or unpaired which is little bit irritating. But overall it is good. Amazon delivery was on time as promised. We can buy.,Positive
Headphones,Male,English,Boat Rockerz 450 on Ear Bluetooth Headphone,Awesome sound effect...!,Positive
Headphones,Male,English,Boat Rockerz 450 on Ear Bluetooth Headphone,It's good for bass and treble is not so high.Build quality is not so good but its ok.buy this if it available under 1300,Neutral
Headphones,Male,English,Boat Rockerz 450 on Ear Bluetooth Headphone,Nice performance,Neutral
Headphones,Male,English,Boat Rockerz 450 on Ear Bluetooth Headphone,"Sound and product quality is good but the charging slot is not C type, the only problem i faced.",Neutral
Headphones,Male,English,Boat Rockerz 450 on Ear Bluetooth Headphone,Good One,Neutral
Headphones,Male,English,Boat Rockerz 450 on Ear Bluetooth Headphone,Sound quality is good,Neutral
Headphones,Male,English,Boat Rockerz 450 on Ear Bluetooth Headphone,Hmm the bass and audio quality is overall good for the price but the charging indicator stops after some time and stops chaging also connectivity issues but overall product is good,Neutral
Headphones,Male,English,Boat Rockerz 450 on Ear Bluetooth Headphone,"The media could not be loaded.
  
 
 
 
 Good work but some problem there is taking some months tear or rubber covered",Negative
Headphones,Male,English,Boat Rockerz 450 on Ear Bluetooth Headphone,Good product in low price,Neutral
Headphones,Male,English,Boat Rockerz 450 on Ear Bluetooth Headphone,Product is good,Neutral
Headphones,Male,English,Boat Rockerz 450 on Ear Bluetooth Headphone,"The boAt Rockerz 450 Bluetooth headphones have left a lasting impression on me as a remarkable audio companion for wireless enthusiasts. With its impressive sound quality and sleek design, this headphone model from boAt proves to be a worthy contender in the wireless audio market.Sound Quality:The Rockerz 450 delivers an immersive and dynamic audio experience. The powerful 40mm dynamic drivers produce rich, well-balanced sound with a pleasing emphasis on bass. Whether you're listening to music, watching movies, or enjoying podcasts, the headphones offer crisp and detailed sound reproduction across various genres. While the bass may be slightly dominant, it adds depth and energy to the listening experience, making it enjoyable for bass enthusiasts.Comfort and Design:Designed with comfort in mind, the boAt Rockerz 450 features a lightweight and ergonomic design that ensures extended listening sessions without discomfort. The adjustable headband and cushioned ear cups provide a snug fit, effectively reducing external noise and allowing for immersive audio playback. The build quality feels sturdy, and the sleek aesthetic design adds a touch of style.Bluetooth Connectivity and Battery Life:The wireless Bluetooth connectivity of the Rockerz 450 is reliable and hassle-free. Pairing the headphones with compatible devices is effortless, and the Bluetooth range offers stable connectivity within a reasonable distance. The headphones also feature built-in controls for convenient playback and call management. In terms of battery life, the Rockerz 450 performs admirably, providing approximately 8-10 hours of playback time on a single charge, which is sufficient for most daily use scenarios.Portability and Versatility:With its foldable design, the boAt Rockerz 450 offers excellent portability. The ability to fold the headphones makes them easy to store in a bag or carry around during travel. Additionally, the inclusion of an AUX cable allows users to switch to a wired connection when desired, ensuring compatibility with devices that do not have Bluetooth capabilities.Call Quality and Microphone:The integrated microphone on the Rockerz 450 delivers decent call quality. It effectively captures the user's voice, ensuring clear and intelligible conversations. However, it is worth noting that the microphone's performance may vary depending on the surrounding environment, and there may be occasional background noise during calls.Value for Money:Considering its price point, the boAt Rockerz 450 provides excellent value for money. The headphones offer a solid audio experience, comfortable fit, and convenient wireless functionality at an affordable price. While it may not compete with higher-end models in terms of sound precision or advanced features, the Rockerz 450 excels in delivering a satisfying audio experience for budget-conscious consumers.Conclusion:The boAt Rockerz 450 Bluetooth headphones present an enticing option for those seeking a wireless audio solution without breaking the bank. With its impressive sound quality, comfortable design, reliable Bluetooth connectivity, and decent battery life, this model caters well to everyday listening needs. While it may not possess all the premium features of higher-end headphones, the Rockerz 450 offers a solid audio experience and represents excellent value for money. For wireless audio enthusiasts on a budget, the boAt Rockerz 450 is definitely worth considering.",Positive
Headphones,Male,English,Boat Rockerz 450 on Ear Bluetooth Headphone,450 sound quality isnâ€™t upto the mark 650 was much better,Neutral
Headphones,Male,English,Boat Rockerz 450 on Ear Bluetooth Headphone,"Good but not great, I have used better headsets. I don't mind paying a little bit more for a better version ..",Positive
Headphones,Female,English,Boat Rockerz 450 on Ear Bluetooth Headphone,I like this product very very very much this is like my favourite product you all can buy this product is of low price and high thing I love this product,Positive
Headphones,Male,English,Boat Rockerz 450 on Ear Bluetooth Headphone,Good but Not so wow...,Negative
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,I have other headphones but among them this is the best one at this price amazing sound quality amazing features with bluetooth including 3.5 mm aux & micro SD card slot. With decent battery backup and type c charging is just awesome.,Positive
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,so the product is good ðŸ‘ I will give 4 star â­â­â­. But when I accidentally droped its volume minus button broked. Its volume is good ðŸ’¯ . For gaming it is mid +. The battery life of headphone is crazyy I only need to charge it in 4 days. Degin is mid not very good,Neutral
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,"At this price range , there is no better headphones that provide this much features. The durability and looks are also nice. Volume control works fine. Battery life is so long it's been two since I charged it. Cushions also provide so much comfort. My only wish was there was a way to know the battery level on the headphone itself of through any app by Zebronics",Positive
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,Under the price range its ok for me!! Don't expect too much bass. Sound quality is also good. Build quality also good,Positive
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,Design is quite simple and good.Sound quality is worth of money.Weight is not so much feeling lighter.Bluetooth+ 3.5mm jackBoth in one,Neutral
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,Sound quality is superb and have very low charging time and have good battery backup. But the product is not stylish and not a premium look. Also the earcup will easily damage over time.,Neutral
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,"It's a good product, been using it on daily basis no complaints, go for it if you don't wanna spend more than rs 1000 . Chao!!",Positive
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,Overall it is good with so many features in this budgetðŸŽ§ðŸŽ§ðŸŽ§ðŸŽ¶ðŸŽ¶ðŸŽ¶ðŸŽ§ðŸŽ§ðŸŽ§,Neutral
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,Headphone base quality and Music quality is good . Design is so good. Comfortable for ears. But I am disappointed with its build quality. It's adjusting band got free,Positive
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,These headphones are very good. The colour is also very good.,Positive
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,Best one with best price,Positive
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,It's good pretty nice considering its my first headphone,Positive
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,Good one,Neutral
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,It's a little loose so if you move your head frequently it will fall off,Neutral
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,I don't know about gamers but good for regular use .Great soundNot noise cancellation one. But great with adjustable ear heads.Go for it if you want for daily use .Looks classy. Aux wire length is great . Easy to use . Been a few months using it. Don't know about long term . But worth for the price,Positive
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,Good battery life. Comfortable blue tooth headsets.,Positive
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,"For the price paid, it does all the things it is supposed to.. Has decent base, good overall sound quality.. But cannot be put on for too long at a stretch, because the war pads tend to stick a bit to the skin, so advisable to give breaks..",Negative
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,Battery is good. Sound is ok. Sound is low on aux.,Neutral
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,Overall good product.,Neutral
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,"Best budget headphone ever I saw, sound clarity is very nice also comfort about gaming ability it's good not too much it is good for listing music.",Positive
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,Overall product thik thak hai bas isme ek disadvantage hai . Noise cancelation nahi nahi lekin 50 to 60 % volume per thik thak chalta hai,Neutral
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,Quality of material and sealing around ears to be improved. There is gap in between beading and plastic frame with allows dust to go inside board. Sound quality is good for the price.,Positive
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,Good product,Neutral
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,"Not bad, worth it",Neutral
Headphones,Female,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,It's ear cushions can come out easily with one pull so if you want to put it back you need to watch video on youtube to open it and put it backI wish it's both ear part and turn but with amount of money it's perfect no complain. I love it . Sound is amazing to as seen in other reviews,Positive
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,It is a great headphones if you use it for very limited work. Little bit creeking sound come at low frequencies. Not best for classical/slow music. But certainly good for high beat music.,Positive
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,Sounds nice !,Neutral
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,"Good product but little feel pain on ear, when using long time, otherwise battery backup is extremely good.",Neutral
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,Worth,Neutral
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,"I used this headphones for 5 days and i used it 7 hours a day and it still has 70% charge left didnt charged it a single timeMy honest rating:Sound : 8/10Build quality : 7.5/10Battery: 10/10Comfort : 8/10One thing i see negative in this is, the sound is leaking.But i would recomend this product because for 800 rs its very worthy",Positive
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,quality not bad,Neutral
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,Quite good product from zebronics...button quality is slightly low and based is also low kind ...bt at this price battery durability is the best and overall sound quality...Clarity is good..so it is value for money...!,Positive
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,"Look like old product, volume decrease button not working properly if you hold it for 1-2 sec then its decreased the volume, cushions cover is clearly visible, ear Bar is also very tight..!! First' time' I returned any electronic product in the Amazon disappointing from Amazon and zeb.But headphone is okay. In this price range good sound quality.. ear cushions is also comfortable!!Good headphone you can go for it.!!Thank you",Positive
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,Nice product value for money,Positive
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,Ok,Neutral
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,For music and audio call attend awesome aðŸ‘,Positive
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,This is a comfortable headphone in this priceYou get good volume control and average mic quality and average wire quantityThe size is perfect thoughI would say go for it,Positive
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,Battery life is good and the sound is also good.,Positive
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,"Very good headphones in budget , very nice gaming performance also , highly recommendedDecently comfortable , speaker are not much loud in aux mode , clear",Positive
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,"Battery is awesome, I used daily around 4-5 hours and i lt took 11 days to drain down complete battery, In gym if other sound is there then its not much effective.Overall for office calls and music at home s good.",Positive
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,Good Headphone in this budget,Neutral
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,It works perfectly.,Positive
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,I really love it for the price,Positive
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,The quality as well as the sound is great ðŸ‘.,Positive
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,I don't wright reviews this is my first reviewThis is my 10th day of review and let me tell you this is one of the best I bought.When it came it was 90% charged and today it's 50% and I used it for 5-6 hours daily. The Highest I was expecting like 10 hours battery backup but I did not expect this much. Headset is not that heavy I don't know about sound quality for me it was fine I was able to hear sound clearly. One bad thing it has is there is not noise cancellationI only gave this product 4 stars is because people might think my review as bot reviewStill when this product arrives to you check any fault you find,Neutral
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,Good one,Neutral
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,"Charging speed and battery backup is too good. Gap between cushion and interior of headphone so it's a bit delicate. You have to handle with care, noise cancellation is a joke here.",Positive
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,Good quality product environmental noise cancellation.,Neutral
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,"It is a good product at a very cheap rate. Only thing I think is average is the microphone quality. Otherwise, product is very good",Positive
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,Connectivity is quick and is quite comfortable.A value for money purchase,Neutral
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,"Guys noise cancellation is not working , build quality is not, itâ€™s OK to purchase for temporary use not permanent , connectivity is fast, size is OK, durability is not good. It may be failed to work after 7 to 8 months maximum.",Neutral
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,Used for long time and after observing it's very good for normal home use ....good battery back up and with lasts long..sound quality is also very good though not comparable to High-end gadgets..,Positive
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,Everything is good but the aux is not working properly but headphone comfort is good,Positive
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,"Under 700 , it's very nice product , it's bess slightly decreases",Neutral
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,For my dadNot coming on earsFeeling after few minutes as if it's summer season on ears,Neutral
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,I like the product sound and bass is very good battery life is also good! thanks Amazon! & Zebronics!,Positive
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,The product is very good but the volume decrease button's single click is not working. Hence we cannot navigate back in song list,Neutral
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,"nice audio quality,using it more than 8 hrs daily .battery life is great.one charge for 2,3 days. in addition ,got an aux cable.it can be usefull when ,you forgot to charge.",Neutral
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,Battery is awesome.. comfortable...droped several times but working good..nice looking,Neutral
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,It is not proactive for noise cancelling.,Neutral
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,The only think which is bad about these headphones is that they don't give quite good vocals and the treble is kind of low the only think that you can feel is the bass in songs and after 30% volume the sound starts to kind of shake and break although the build and battery is quite to the point,Negative
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,"When I first got this product, I accidentally pressed the button too hard, and it got pushed inside. I was initially annoyed, but instead of returning it, I decided to take matters into my own hands. With just a screwdriver and a few minutes of my time, I was able to fix the button with ease. Since then, itâ€™s been working flawlessly. The battery backup is excellent, and if you keep the volume at around 70-80%, the speakers deliver great sound without any issues. Overall, I'm really impressed with its performance and durabilityâ€”definitely worth the purchase!",Positive
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,"I am writing this review after 1 month of use. Yes what I realisePros:Many small features like memory card support, 3.5 mm jack can come handy sometimes.Noise cancellation works good.Battery backup is good.ConsNot sweet for music but speech quality is good.Appearance looks good but not so sturdy. I received it in perfect condition but cushion came out in one month use. So, it's almost useless now. All my previous headphones lasted for atleast one and half year.",Positive
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,If you are not a bass lover than you can go for it but the problem is cushion always comes out so it will be a headache for usersApart from it battery and connectivity are ossumBut for the price range one can manage,Negative
Headphones,Male,English,ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone,Very long lasting,Neutral
